Year,JAN-mm,FEB-mm,MAR-mm,APR-mm,MAY-mm,JUN-mm,JUL-mm,AUG-mm,SEP-mm,OCT-mm,NOV-mm,DEC-mm,ANNUAL-mm
1942,178.8,95.9,98.8,52.5,61,14.6,97.1,123.7,35.2,134.8,133.2,139.8,973.9
1941,63.1,85.7,125.8,112.2,35.5,36.5,124.5,29.7,85.9,133,138.7,95.2,1151
1940,103.7,92.5,102.1,65.7,29,66.4,129.8,46.8,66.3,74.9,156.6,123.1,1032.4
1939,106.9,51.1,48.8,8.2,82.2,114.4,141.2,69.6,78.6,182.6,159.4,94.5,1196.8
1938,137.3,137,68.9,68.9,40.2,62.9,119.4,93,86,60.4,45.3,119.3,1035.5
1937,159.2,64.5,69,27.9,46.3,88.3,186.2,74.4,120.5,91.8,121.6,96.4,1138.1
1936,128.3,117,40.8,81.8,30.4,111.6,37.3,69,135,147.5,131,161.1,1054.8
1935,57,11.3,65.6,83.2,85.2,54.5,68.2,143,156.9,139.6,34.6,60.3,1111.9
1934,108.8,89.3,71.7,47.9,68.8,71.4,83.6,64.1,17.2,82.7,43.1,157.6,1037.8
1933,84.5,4.8,64,97.4,69.9,43.6,130.8,72.6,101.8,107.3,75.1,96.5,1176.6
1932,113.1,100.1,42.7,81.5,108.6,147.1,117.9,80.6,63.4,69.9,162.1,111.7,1160.2
1931,106.4,21.1,71.7,51,48.8,63.2,108,181.2,96.4,161.7,116.7,211.7,1113.5
1930,128.8,90.3,17.8,36.9,69.2,70.8,90.4,164,33.3,145,133.6,105.7,1362.5
1929,50.5,126.2,105.2,52.9,34.9,137.3,63,149.1,92.4,154.4,149.1,60.7,1060.2
1928,192.3,61,86.2,51.3,42.8,99.8,88.5,102.2,133.3,89.6,114.8,44.1,1067.6
1927,130,101.3,50.2,60.9,83.9,69.1,91.8,105.1,71.7,101.3,129.4,104.5,1062.4
1926,158.8,132,51.6,110.2,133.4,20.5,103.7,63.9,89.8,91.2,66.2,135.9,1232.7
1925,95.6,46.2,32.6,92.6,126.6,80.9,131.8,151.2,151.2,76.7,89.5,124.9,1303.3
1924,117.7,173,58.9,96.6,57.1,40,84,179.8,126.7,125.9,120.4,115.5,1052.3
1923,116,123.2,52.9,109.3,54.6,68.3,113.3,110.8,79.6,39.1,57.6,130.4,998.9
1922,128.1,28.5,102.7,40.3,60.9,11.5,113.3,111,42.4,101.1,108.4,119.3,1228
1921,148.4,79.9,100.2,93.8,103,70.8,99.8,78,81.2,145.7,112.7,224.1,1053.1
1920,143.6,34.2,101.5,62.4,50.8,87,19.7,101.8,93.5,54.3,95.1,138.5,1187
1919,128.8,127.9,35.6,43.1,74.3,48.4,111,104.8,163.8,122.6,126.2,86.1,1162.3
1918,90.8,63.5,83.7,76.2,99.7,66.7,61.2,159.7,65.8,182,149.3,87.7,1185.5
1917,68.4,118.9,49.5,116.2,156.1,61.9,81.3,79.2,32.6,189.2,118.8,174,1034.3
1916,94.3,122.7,35.2,74.9,33.6,63.8,129.5,94.8,40.6,81.8,79.5,198.8,1077.5
1915,104,137.8,127.9,52.6,55.4,37.9,68.8,103.1,48.7,47.3,135.1,100.7,1056.6
1914,64,47,101.6,111.6,93.6,87,43.7,32.8,102.4,83.8,110.2,152.8,1209.1
1913,142.4,94.5,122.2,53.4,37.4,152.6,113.2,154.4,31.5,88.7,103.8,177.9,953.9
